 DisBohr DisAngs Files AvLag Error
0 3.614908 1.9126497354497354 CV3.614908 0.06280888991193849 0.07267772060694547
1 3.792678 2.0067079365079366 CV3.792678 0.04161876164569631 0.0634940199399592
2 4.186737 2.215204761904762 CV4.186737 0.018870238985914483 0.06780620625849898
3 4.693066 2.4831037037037036 CV4.693066 0.002932736483245023 0.09727341845934512
4 5.023028 2.6576867724867728 CV5.023028 0.005824138471955931 0.08805635515161042
5 5.334326 2.8223947089947092 CV5.334326 0.007233037387890458 0.05930066931725984
6 5.682026 3.006362962962963 CV5.682026 0.006069857480714286 0.061776926597281
7 6.155516 3.256886772486773 CV6.155516 0.006622811351287215 0.0743096896428512
8 6.618522 3.501863492063492 CV6.618522 0.005331096929163097 0.07411576733183338
9 7.66597 4.056068783068783 CV7.66597 0.0015316711252496434 0.09516650681129821
10 9.525068 5.0397185185185185 CV9.525068 0.0018217128334640338 0.07183834049196068
11 11.354681 6.007767724867725 CV11.354681 0.0017391897220474693 0.05627126184053714
12 13.248399 7.00973492063492 CV13.248399 0.0019353777426554476 0.07836955236630594
13 15.143796 8.012590476190477 CV15.143796 0.002283625990205891 0.06341377148533814
14 17.019998 9.005289947089949 CV17.019998 0.0008121498960005733 0.06564086786115311
15 18.948384 10.0256 CV18.948384 0.0012477575162372417 0.052487763119135375
16 20.887527 11.051601587301587 CV20.887527 0.00033993260077242176 0.05494413567648657
17 22.692349 12.006533862433862 CV22.692349 0.001481247009220872 0.07117263512317375
18 24.589569 13.01035396825397 CV24.589569 0.0018275259594227743 0.08926007042330751
19 26.504802 14.023704761904764 CV26.504802 2.476210571367289e-06 0.08521201289813636
